,id,gtAI
0,"lcl|NC_001133.9_cds_NP_009332.1_1 [gene=PAU8] [locus_tag=YAL068C] [db_xref=SGD:S000002142,GeneID:851229] [protein=seripauperin PAU8] [protein_id=NP_009332.1] [location=complement(1807..2169)] [gbkey=CDS]",0.5665606407273358
1,"lcl|NC_001133.9_cds_NP_878038.1_2 [locus_tag=YAL067W-A] [db_xref=SGD:S000028593,GeneID:1466426] [protein=uncharacterized protein] [protein_id=NP_878038.1] [location=2480..2707] [gbkey=CDS]",0.2685562313183838
2,"lcl|NC_001133.9_cds_NP_009333.1_3 [gene=SEO1] [locus_tag=YAL067C] [db_xref=SGD:S000000062,GeneID:851230] [protein=putative permease SEO1] [protein_id=NP_009333.1] [location=complement(7235..9016)] [gbkey=CDS]",0.43088167945619193
3,"lcl|NC_001133.9_cds_NP_009335.1_4 [locus_tag=YAL065C] [db_xref=SGD:S000001817,GeneID:851232] [protein=uncharacterized protein] [protein_id=NP_009335.1] [location=complement(11565..11951)] [gbkey=CDS]",0.3745868039880158
4,"lcl|NC_001133.9_cds_NP_009336.1_5 [locus_tag=YAL064W-B] [db_xref=SGD:S000002141,GeneID:851233] [protein=uncharacterized protein] [protein_id=NP_009336.1] [location=12046..12426] [gbkey=CDS]",0.33871234754726254
5,"lcl|NC_001133.9_cds_NP_058136.1_6 [gene=TDA8] [locus_tag=YAL064C-A] [db_xref=SGD:S000002140,GeneID:851234] [protein=Tda8p] [protein_id=NP_058136.1] [location=complement(13363..13743)] [gbkey=CDS]",0.4492576239449667
6,"lcl|NC_001133.9_cds_NP_009337.2_7 [locus_tag=YAL064W] [db_xref=SGD:S000000060,GeneID:851235] [protein=uncharacterized protein] [protein_id=NP_009337.2] [location=21566..21850] [gbkey=CDS]",0.33799292441439477
7,"lcl|NC_001133.9_cds_NP_878039.1_8 [locus_tag=YAL063C-A] [db_xref=SGD:S000028813,GeneID:1466427] [protein=uncharacterized protein] [protein_id=NP_878039.1] [location=complement(22395..22685)] [gbkey=CDS]",0.45084810825988275
8,"lcl|NC_001133.9_cds_NP_009338.1_9 [gene=FLO9] [locus_tag=YAL063C] [db_xref=SGD:S000000059,GeneID:851236] [protein=flocculin FLO9] [protein_id=NP_009338.1] [location=complement(24000..27968)] [gbkey=CDS]",0.45691664926387454
9,"lcl|NC_001133.9_cds_NP_009339.1_10 [gene=GDH3] [locus_tag=YAL062W] [db_xref=SGD:S000000058,GeneID:851237] [protein=glutamate dehydrogenase (NADP(+)) GDH3] [protein_id=NP_009339.1] [location=31567..32940] [gbkey=CDS]",0.41402133302777233
10,"lcl|NC_001133.9_cds_NP_009340.1_11 [gene=BDH2] [locus_tag=YAL061W] [db_xref=SGD:S000000057,GeneID:851238] [protein=putative dehydrogenase BDH2] [protein_id=NP_009340.1] [location=33448..34701] [gbkey=CDS]",0.3851760479439146
11,"lcl|NC_001133.9_cds_NP_009341.2_12 [gene=BDH1] [locus_tag=YAL060W] [db_xref=SGD:S000000056,GeneID:851239] [protein=(R,R)-butanediol dehydrogenase] [protein_id=NP_009341.2] [location=35155..36303] [gbkey=CDS]",0.44181694761627155
12,"lcl|NC_001133.9_cds_NP_009342.2_13 [gene=ECM1] [locus_tag=YAL059W] [db_xref=SGD:S000000055,GeneID:851240] [protein=Ecm1p] [protein_id=NP_009342.2] [location=36509..37147] [gbkey=CDS]",0.4324396830869082
13,"lcl|NC_001133.9_cds_NP_009343.1_14 [gene=CNE1] [locus_tag=YAL058W] [db_xref=SGD:S000000054,GeneID:851241] [protein=calnexin] [protein_id=NP_009343.1] [location=37464..38972] [gbkey=CDS]",0.36160023310411915
14,"lcl|NC_001133.9_cds_NP_009345.3_15 [gene=GPB2] [locus_tag=YAL056W] [db_xref=SGD:S000000052,GeneID:851243] [protein=Gpb2p] [protein_id=NP_009345.3] [location=39259..41901] [gbkey=CDS]",0.37661056343633015
15,"lcl|NC_001133.9_cds_NP_009346.1_16 [gene=PEX22] [locus_tag=YAL055W] [db_xref=SGD:S000000051,GeneID:851244] [protein=ubiquitin-protein transferase activating protein PEX22] [protein_id=NP_009346.1] [location=42177..42719] [gbkey=CDS]",0.3603487504492152
16,"lcl|NC_001133.9_cds_NP_009347.1_17 [gene=ACS1] [locus_tag=YAL054C] [db_xref=SGD:S000000050,GeneID:851245] [protein=acetate--CoA ligase 1] [protein_id=NP_009347.1] [location=complement(42881..45022)] [gbkey=CDS]",0.46168671613678575
17,"lcl|NC_001133.9_cds_NP_009348.2_18 [gene=FLC2] [locus_tag=YAL053W] [db_xref=SGD:S000000049,GeneID:851246] [protein=flavin adenine dinucleotide transporter FLC2] [protein_id=NP_009348.2] [location=45899..48250] [gbkey=CDS]",0.38563108363931903
18,"lcl|NC_001133.9_cds_NP_009349.3_19 [gene=OAF1] [locus_tag=YAL051W] [db_xref=SGD:S000000048,GeneID:851247] [protein=oleate-activated transcription factor OAF1] [protein_id=NP_009349.3] [location=48564..51707] [gbkey=CDS]",0.39752879304275607
19,"lcl|NC_001133.9_cds_NP_009350.1_20 [gene=AIM2] [locus_tag=YAL049C] [db_xref=SGD:S000000047,GeneID:851248] [protein=protein AIM2] [protein_id=NP_009350.1] [location=complement(51855..52595)] [gbkey=CDS]",0.4488614011219536
20,"lcl|NC_001133.9_cds_NP_009351.1_21 [gene=GEM1] [locus_tag=YAL048C] [db_xref=SGD:S000000046,GeneID:851249] [protein=ERMES complex Ca(2+)-binding regulatory GTPase GEM1] [protein_id=NP_009351.1] [location=complement(52801..54789)] [gbkey=CDS]",0.39087051964760194
21,"lcl|NC_001133.9_cds_NP_009352.2_22 [gene=SPC72] [locus_tag=YAL047C] [db_xref=SGD:S000000045,GeneID:851250] [protein=gamma-tubulin complex subunit SPC72] [protein_id=NP_009352.2] [location=complement(54989..56857)] [gbkey=CDS]",0.38851210081434756
22,"lcl|NC_001133.9_cds_NP_009353.1_23 [gene=BOL3] [locus_tag=YAL046C] [db_xref=SGD:S000000044,GeneID:851251] [protein=Bol3p] [protein_id=NP_009353.1] [location=complement(57029..57385)] [gbkey=CDS]",0.33669168371413877
23,"lcl|NC_001133.9_cds_NP_075206.1_24 [gene=BOL1] [locus_tag=YAL044W-A] [db_xref=SGD:S000007586,GeneID:851252] [protein=Bol1p] [protein_id=NP_075206.1] [location=57518..57850] [gbkey=CDS]",0.3750238376926242
24,"lcl|NC_001133.9_cds_NP_009355.3_25 [gene=GCV3] [locus_tag=YAL044C] [db_xref=SGD:S000000042,GeneID:851254] [protein=glycine decarboxylase subunit H] [protein_id=NP_009355.3] [location=complement(57950..58462)] [gbkey=CDS]",0.4067662110306768
25,"lcl|NC_001133.9_cds_NP_009356.1_26 [gene=PTA1] [locus_tag=YAL043C] [db_xref=SGD:S000000041,GeneID:851255] [protein=RNA-processing protein PTA1] [protein_id=NP_009356.1] [location=complement(58695..61052)] [gbkey=CDS]",0.3368487753080902
26,"lcl|NC_001133.9_cds_NP_009358.1_27 [gene=ERV46] [locus_tag=YAL042W] [db_xref=SGD:S000000040,GeneID:851256] [protein=Erv46p] [protein_id=NP_009358.1] [location=61316..62563] [gbkey=CDS]",0.3568696183996462
27,"lcl|NC_001133.9_cds_NP_009359.1_28 [gene=CDC24] [locus_tag=YAL041W] [db_xref=SGD:S000000039,GeneID:851190] [protein=Rho family guanine nucleotide exchange factor CDC24] [protein_id=NP_009359.1] [location=62840..65404] [gbkey=CDS]",0.364575001384274
28,"lcl|NC_001133.9_cds_NP_009360.1_29 [gene=CLN3] [locus_tag=YAL040C] [db_xref=SGD:S000000038,GeneID:851191] [protein=cyclin CLN3] [protein_id=NP_009360.1] [location=complement(65778..67520)] [gbkey=CDS]",0.4038473444596413
29,"lcl|NC_001133.9_cds_NP_009361.1_30 [gene=CYC3] [locus_tag=YAL039C] [db_xref=SGD:S000000037,GeneID:851192] [protein=holocytochrome c synthase CYC3] [protein_id=NP_009361.1] [location=complement(68716..69525)] [gbkey=CDS]",0.3553869212182436
